,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,URL: ,Warning Codes: ,Letter Content
0,07/16/2018,07/16/2018,Lopez Gonzalez Santana Corporation dba Domel and dba Dermixx,San Juan District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,,,,,
1,05/11/2021,05/04/2021,Ismar Soluciones Dinámicas S de RL de CV,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,,,,
2,05/11/2021,04/30/2021,J & L USA Inc.,Division of West Coast Imports,Foreign Supplier Verification Program (FSVP),,,,,
3,05/11/2021,04/13/2021,Anytime COVID Test LLC,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
4,05/11/2021,04/29/2021,"Crown Wellness, Inc",Center for Food Safety and Applied Nutrition,New Drug/Misbranded,,,,,
5,05/11/2021,04/28/2021,Martinez Produce & Seafood Inc,Office of Human and Animal Food Operations East Division VI,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,03/14/2022,,,
6,05/11/2021,04/26/2021,C&G Laboratorios SA de CV,Center for Drug Evaluation and Research,Finished Pharmaceuticals/Unapproved New Drug/Misbranded,,,,,
7,05/11/2021,05/11/2021,The Smoker's Alternative,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,,,,
8,05/12/2021,05/04/2021,Baltimore Beauty Security Square Mall,Center for Devices and Radiological Health,Adulterated and Misbranded Products Related to Coronavirus Disease 2019 (COVID-19),,,,,
9,05/18/2021,05/05/2021,"Bio-Botanica, Inc./Nature’s Answer, Inc.",Office of Human and Animal Food Operations East – Division 1,Dietary Supplement/Adulterated/Cesium Chloride,,05/23/2022,,,
10,05/18/2021,04/21/2021,North American Hirudin Biotech Products Inc.,Office of Regulatory Affairs,New Drug/Misbranded,,,,,
11,05/18/2021,04/27/2021,NeuroHydrate LLC,Office of Human and Animal Food Operations East – Division 1,New Drug/Misbranded,,06/23/2021,,,
12,05/18/2021,05/07/2021,High Voltage Vaporz LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/03/2022,,,
13,05/18/2021,05/07/2021,"FF Vapors, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,06/08/2022,,,
